app_name,total_volume_mn,total_value_cr,month,year,category
Aditya Birla Capital Digital,0.7,29.68,Feb,2025,Bank App
Digikhata,0.68,208.81,Feb,2025,Bank App
Union Bank App,0.67,225.15,Feb,2025,Bank App
One Card,0.66,742.49,Feb,2025,Bank App
Bharat Pe,0.62,41.42,Feb,2025,Bank App
South Indian Bank App,0.62,178.11,Feb,2025,Bank App
Indian Bank App,0.61,168.69,Feb,2025,Bank App
Fino Payments Bank App,0.53,68.54,Feb,2025,Bank App
Au Small Finance Bank App,0.49,148.93,Feb,2025,Bank App
Uco Bank App,0.35,89.18,Feb,2025,Bank App
Salary Se,0.3,15.64,Feb,2025,Bank App
Tata Neu,0.3,92.32,Feb,2025,Bank App
Indian Overseas Bank App,0.27,67.2,Feb,2025,Bank App
Esaf Small Finance Bank App,0.27,26.81,Feb,2025,Bank App
Bank Of India App,0.24,75.45,Feb,2025,Bank App
Karnataka Bank App,0.23,50.92,Feb,2025,Bank App
Standard Chartered Bank App,0.2,114.12,Feb,2025,Bank App
Dhani,0.15,7.35,Feb,2025,Bank App
Money View,0.15,15.33,Feb,2025,Bank App
True Balance,0.13,4.64,Feb,2025,Bank App
Kreditpe,0.12,16.73,Feb,2025,Bank App
RapiPay,0.12,14.62,Feb,2025,Bank App
Spice Money,0.1,9.88,Feb,2025,Bank App
Niyo Global,0.09,46.26,Feb,2025,Bank App
Idbi Bank App,0.09,32.23,Feb,2025,Bank App
Ultracash,0.09,6.62,Feb,2025,Bank App
City Union Bank App,0.08,28.98,Feb,2025,Bank App
Karur Vysya Bank App,0.08,28.6,Feb,2025,Bank App
Tamilnad Mercantile Bank App,0.08,26.47,Feb,2025,Bank App
Nsdl Payments Bank App,0.08,8.12,Feb,2025,Bank App
Genwise,0.07,24.26,Feb,2025,Bank App
Freo,0.04,2.36,Feb,2025,Bank App
Cheq,0.03,2.44,Feb,2025,Bank App
Punjab Sindh Bank App,0.03,9.76,Feb,2025,Bank App
Bank Of Maharashtra App,0.02,9.03,Feb,2025,Bank App
Others,1.94,222.61,Feb,2025,Bank App
Google Pay,6183.91,826845.07,Jan,2025,Payment App
Paytm,1152.34,126313.45,Jan,2025,Payment App
Navi,242.83,13221.33,Jan,2025,Bank App
Cred,137.44,49482.95,Jan,2025,Payment App
Axis Bank App,126.62,7769.17,Jan,2025,Bank App
Super.Money,124.83,4565.57,Jan,2025,Bank App
Amazon Pay,99.95,9843.47,Jan,2025,Payment App
Fampay,79.01,896.25,Jan,2025,Bank App
Whatsapp,60.99,4550.41,Jan,2025,Bank App
Icici Bank App,58.23,18928.62,Jan,2025,Bank App
Kotak Mahindra Bank App,53.71,7489.75,Jan,2025,Bank App
Hdfc Bank App,49.6,11086.42,Jan,2025,Bank App
Yes Bank App,41.57,8877.26,Jan,2025,Bank App
Bhim,33.88,9333.77,Jan,2025,Payment App
Mobikwik,23.66,3811.43,Jan,2025,Payment App
Airtel Payments Bank App,20.96,1498.83,Jan,2025,Bank App
Groww,15.4,11200.31,Jan,2025,Payment App
India Post Payments Bank App,12.57,1509.59,Jan,2025,Bank App
Sbi Bank App,12.49,3515.63,Jan,2025,Bank App
Idfc Bank App,11.77,2283.04,Jan,2025,Bank App
Rbl Bank App,8.62,1418.15,Jan,2025,Bank App
Samsung Pay,8.57,608.41,Jan,2025,Bank App
Bajaj Finserv,8.19,1649.36,Jan,2025,Payment App
Pop Upi,8.1,431.96,Jan,2025,Bank App
Slice,7.88,569.95,Jan,2025,Payment App
Flipkart Upi,7.58,393.64,Jan,2025,Bank App
Jupiter Money,6.31,913.95,Jan,2025,Payment App
Federal Bank App,4.3,744.89,Jan,2025,Bank App
Jio Payments Bank App,3.66,293.42,Jan,2025,Bank App
Punjab National Bank App,3.45,864.8,Jan,2025,Bank App
Canara Bank App,3.36,884.57,Jan,2025,Bank App
Deutsche Bank App,3.32,322.75,Jan,2025,Bank App
Fi Money,3.25,401.64,Jan,2025,Bank App
Indian Bank App,2.07,437.0,Jan,2025,Bank App
Timepay,1.8,22.39,Jan,2025,Bank App
Suryoday Bank App,1.74,323.72,Jan,2025,Bank App
Jammu And Kashmir Bank App,1.62,212.89,Jan,2025,Bank App
Omnicard,1.49,96.0,Jan,2025,Bank App
Central Bank Of India App,1.34,237.42,Jan,2025,Bank App
Bank Of Baroda App,1.23,442.03,Jan,2025,Bank App
Dbs Digibank App,1.13,225.49,Jan,2025,Bank App
Aditya Birla Capital Digital,0.93,39.03,Jan,2025,Bank App
Kiwi,0.82,141.6,Jan,2025,Bank App
Hsbc Bank App,0.82,201.79,Jan,2025,Bank App
Union Bank App,0.75,257.23,Jan,2025,Bank App
One Card,0.7,799.37,Jan,2025,Bank App
South Indian Bank App,0.65,192.73,Jan,2025,Bank App
Digikhata,0.64,194.07,Jan,2025,Bank App
Ind Money,0.63,293.14,Jan,2025,Bank App
Shriram One,0.6,63.97,Jan,2025,Bank App
Fino Payments Bank App,0.59,78.97,Jan,2025,Bank App
Au Small Finance Bank App,0.5,154.35,Jan,2025,Bank App
Uco Bank App,0.34,85.35,Jan,2025,Bank App
Tata Neu,0.3,89.22,Jan,2025,Bank App
Indusind Bank App,0.26,58.26,Jan,2025,Bank App
Indian Overseas Bank App,0.25,66.56,Jan,2025,Bank App
Karnataka Bank App,0.25,52.98,Jan,2025,Bank App
Esaf Small Finance Bank App,0.24,26.7,Jan,2025,Bank App
Bank Of India App,0.24,78.25,Jan,2025,Bank App
True Balance,0.23,9.01,Jan,2025,Bank App
Bharat Pe,0.21,19.64,Jan,2025,Bank App
Standard Chartered Bank App,0.2,123.89,Jan,2025,Bank App
Salary Se,0.16,7.76,Jan,2025,Bank App
Dhani,0.15,7.72,Jan,2025,Bank App
Money View,0.12,9.77,Jan,2025,Bank App
RapiPay,0.11,13.96,Jan,2025,Bank App
Idbi Bank App,0.11,41.84,Jan,2025,Bank App
Niyo Global,0.1,48.75,Jan,2025,Bank App
Ultracash,0.09,6.74,Jan,2025,Bank App
Kreditpe,0.09,11.04,Jan,2025,Bank App
City Union Bank App,0.08,29.52,Jan,2025,Bank App
Karur Vysya Bank App,0.08,29.32,Jan,2025,Bank App
Tamilnad Mercantile Bank App,0.08,26.96,Jan,2025,Bank App
Spice Money,0.08,7.67,Jan,2025,Bank App
Nsdl Payments Bank App,0.07,8.35,Jan,2025,Bank App
Genwise,0.05,29.81,Jan,2025,Bank App
Bank Of Maharashtra App,0.04,15.22,Jan,2025,Bank App
Equitas Small Finance Bank App,0.04,28.47,Jan,2025,Bank App
Cheq,0.03,2.39,Jan,2025,Bank App
Punjab Sindh Bank App,0.03,11.6,Jan,2025,Bank App
Freo,0.02,1.55,Jan,2025,Bank App
Others,8.66,1373.16,Jan,2025,Bank App
Navi,444.06,23562.51,Jul,2025,Bank App
Super.Money,252.85,9018.71,Jul,2025,Bank App
Cred,144.38,55259.9,Jul,2025,Payment App
Fampay,125.0,1563.58,Jul,2025,Bank App
Axis Bank App,123.44,9773.39,Jul,2025,Bank App
Amazon Pay,100.53,10813.98,Jul,2025,Payment App
Bhim,87.13,14522.39,Jul,2025,Payment App
Whatsapp,74.6,5412.58,Jul,2025,Bank App
Icici Bank App,71.33,17102.36,Jul,2025,Bank App
Kotak Mahindra Bank App,66.63,8497.73,Jul,2025,Bank App
Hdfc Bank App,64.97,15430.59,Jul,2025,Bank App
Pop Upi,63.63,1539.48,Jul,2025,Bank App
Yes Bank App,55.6,9491.62,Jul,2025,Bank App
Mobikwik,43.17,5578.43,Jul,2025,Payment App
Airtel Payments Bank App,21.34,1509.17,Jul,2025,Bank App
Slice Small Finance Bank App,19.83,2586.22,Jul,2025,Payment App
India Post Payments Bank App,18.16,1759.02,Jul,2025,Bank App
Idfc Bank App,18.08,2707.93,Jul,2025,Bank App
Groww,14.06,11012.81,Jul,2025,Payment App
Sbi Bank App,12.26,3633.07,Jul,2025,Bank App
Bajaj Finserv,10.87,2516.08,Jul,2025,Payment App
Samsung Pay,9.34,669.72,Jul,2025,Bank App
Rbl Bank App,8.54,1388.7,Jul,2025,Bank App
Jupiter Money,6.3,981.5,Jul,2025,Payment App
Federal Bank App,5.86,1163.18,Jul,2025,Bank App
Jio Payments Bank App,4.47,306.58,Jul,2025,Bank App
Deutsche Bank App,4.43,770.63,Jul,2025,Bank App
Canara Bank App,4.05,1018.59,Jul,2025,Bank App
Punjab National Bank App,3.67,980.66,Jul,2025,Bank App
Timepay,3.14,47.4,Jul,2025,Bank App
Kiwi,2.85,323.87,Jul,2025,Bank App
Fi Money,2.84,400.92,Jul,2025,Bank App
Nsdl Payments Bank App,2.78,110.25,Jul,2025,Bank App
Flipkart Upi,2.7,155.64,Jul,2025,Bank App
Jammu And Kashmir Bank App,2.62,343.24,Jul,2025,Bank App
Shriram One,2.38,155.72,Jul,2025,Bank App
Bank Of Baroda App,2.01,529.28,Jul,2025,Bank App
Ind Money,1.86,730.24,Jul,2025,Bank App
Omnicard,1.73,98.15,Jul,2025,Bank App
Indusind Bank App,1.26,178.71,Jul,2025,Bank App
Indian Bank App,1.11,255.91,Jul,2025,Bank App
Hsbc Bank App,1.09,135.52,Jul,2025,Bank App
Suryoday Bank App,1.06,151.82,Jul,2025,Bank App
Digikhata,1.01,320.5,Jul,2025,Bank App
Standard Chartered Bank App,0.99,150.81,Jul,2025,Bank App
Bharat Pe,0.92,62.45,Jul,2025,Bank App
Dbs Digibank App,0.88,222.49,Jul,2025,Bank App
Central Bank Of India App,0.86,186.24,Jul,2025,Bank App
South Indian Bank App,0.83,240.25,Jul,2025,Bank App
Union Bank App,0.79,259.13,Jul,2025,Bank App
One Card,0.78,918.16,Jul,2025,Bank App
Money View,0.71,64.31,Jul,2025,Bank App
Au Small Finance Bank App,0.65,201.78,Jul,2025,Bank App
Kreditpe,0.6,54.67,Jul,2025,Bank App
Esaf Small Finance Bank App,0.59,64.58,Jul,2025,Bank App
Uco Bank App,0.57,140.44,Jul,2025,Bank App
Fino Payments Bank App,0.55,55.18,Jul,2025,Bank App
Salary Se,0.5,22.32,Jul,2025,Bank App
Tata Pay,0.49,144.2,Jul,2025,Bank App
Aditya Birla Capital Digital,0.39,23.14,Jul,2025,Bank App
Bank Of India App,0.31,95.7,Jul,2025,Bank App
Indian Overseas Bank App,0.29,69.35,Jul,2025,Bank App
Karnataka Bank App,0.26,61.44,Jul,2025,Bank App
Spice Money,0.26,21.44,Jul,2025,Bank App
RapiPay,0.22,23.19,Jul,2025,Bank App
Dhani,0.2,8.73,Jul,2025,Bank App
Idbi Bank App,0.16,60.93,Jul,2025,Bank App
True Balance,0.13,4.22,Jul,2025,Bank App
Ultracash,0.11,7.7,Jul,2025,Bank App
Karur Vysya Bank App,0.11,38.44,Jul,2025,Bank App
Obopay,0.11,15.31,Jul,2025,Bank App
Tamilnad Mercantile Bank App,0.1,33.72,Jul,2025,Bank App
Niyo Global,0.08,20.06,Jul,2025,Bank App
City Union Bank App,0.07,27.83,Jul,2025,Bank App
Unity Small Finance Bank App,0.07,16.97,Jul,2025,Bank App
Freo,0.04,2.57,Jul,2025,Bank App
Payworld,0.04,3.27,Jul,2025,Bank App
Utkarsh Small Finance Bank App,0.02,3.19,Jul,2025,Bank App
Bank Of Maharashtra App,0.02,8.09,Jul,2025,Bank App
Jar,0.02,0.5,Jul,2025,Bank App
Punjab Sindh Bank App,0.02,7.28,Jul,2025,Bank App
Others,2.31,244.14,Jul,2025,Bank App
Navi,406.01,21814.51,Jun,2025,Bank App
Super.Money,218.96,7716.48,Jun,2025,Bank App
Cred,138.32,51384.11,Jun,2025,Payment App
Axis Bank App,126.27,9388.51,Jun,2025,Bank App
Fampay,112.75,1439.64,Jun,2025,Bank App
Amazon Pay,93.25,9942.48,Jun,2025,Payment App
Bhim,73.07,11725.85,Jun,2025,Payment App
Whatsapp,67.48,4989.34,Jun,2025,Bank App
Hdfc Bank App,67.46,14297.8,Jun,2025,Bank App
Icici Bank App,61.82,15983.92,Jun,2025,Bank App
Kotak Mahindra Bank App,60.36,7735.27,Jun,2025,Bank App
Yes Bank App,52.55,8917.32,Jun,2025,Bank App
Mobikwik,34.43,4600.71,Jun,2025,Payment App
Pop Upi,32.33,834.39,Jun,2025,Bank App
Airtel Payments Bank App,19.74,1368.2,Jun,2025,Bank App
Slice Small Finance Bank App,17.76,2317.46,Jun,2025,Payment App
Idfc Bank App,17.44,2481.31,Jun,2025,Bank App
India Post Payments Bank App,16.65,1730.46,Jun,2025,Bank App
Sbi Bank App,13.35,3591.53,Jun,2025,Bank App
Groww,12.46,8801.55,Jun,2025,Payment App
Bajaj Finserv,11.4,2351.65,Jun,2025,Payment App
Rbl Bank App,10.7,1587.67,Jun,2025,Bank App
Samsung Pay,8.81,624.29,Jun,2025,Bank App
Jupiter Money,5.99,905.62,Jun,2025,Payment App
Federal Bank App,5.22,1006.22,Jun,2025,Bank App
Jio Payments Bank App,4.26,308.69,Jun,2025,Bank App
Deutsche Bank App,4.02,723.95,Jun,2025,Bank App
Timepay,3.96,50.49,Jun,2025,Bank App
Canara Bank App,3.49,911.93,Jun,2025,Bank App
Punjab National Bank App,3.46,917.08,Jun,2025,Bank App
Kiwi,3.43,385.72,Jun,2025,Bank App
Fi Money,2.75,375.21,Jun,2025,Bank App
Flipkart Upi,2.52,144.64,Jun,2025,Bank App
Jammu And Kashmir Bank App,2.41,316.86,Jun,2025,Bank App
Shriram One,2.16,144.64,Jun,2025,Bank App
Bank Of Baroda App,1.77,497.24,Jun,2025,Bank App
Standard Chartered Bank App,1.74,165.08,Jun,2025,Bank App
Omnicard,1.62,93.83,Jun,2025,Bank App
Ind Money,1.41,558.23,Jun,2025,Bank App
Indusind Bank App,1.31,173.24,Jun,2025,Bank App
Nsdl Payments Bank App,1.19,48.41,Jun,2025,Bank App
Hsbc Bank App,1.02,122.16,Jun,2025,Bank App
Central Bank Of India App,0.93,186.91,Jun,2025,Bank App
Suryoday Bank App,0.9,121.41,Jun,2025,Bank App
Digikhata,0.88,287.21,Jun,2025,Bank App
Dbs Digibank App,0.87,222.97,Jun,2025,Bank App
Indian Bank App,0.87,203.68,Jun,2025,Bank App
Union Bank App,0.74,236.2,Jun,2025,Bank App
South Indian Bank App,0.73,208.33,Jun,2025,Bank App
One Card,0.73,834.56,Jun,2025,Bank App
Au Small Finance Bank App,0.62,184.72,Jun,2025,Bank App
Esaf Small Finance Bank App,0.57,58.0,Jun,2025,Bank App
Fino Payments Bank App,0.54,53.51,Jun,2025,Bank App
Bharat Pe,0.54,46.14,Jun,2025,Bank App
Uco Bank App,0.51,125.51,Jun,2025,Bank App
Tata Pay,0.47,134.16,Jun,2025,Bank App
Salary Se,0.46,21.59,Jun,2025,Bank App
Kreditpe,0.43,42.0,Jun,2025,Bank App
Aditya Birla Capital Digital,0.37,42.7,Jun,2025,Bank App
Money View,0.34,38.22,Jun,2025,Bank App
Indian Overseas Bank App,0.28,67.04,Jun,2025,Bank App
Bank Of India App,0.28,82.52,Jun,2025,Bank App
Karnataka Bank App,0.25,57.35,Jun,2025,Bank App
Spice Money,0.2,14.16,Jun,2025,Bank App
RapiPay,0.17,19.48,Jun,2025,Bank App
Dhani,0.17,7.65,Jun,2025,Bank App
Idbi Bank App,0.14,49.11,Jun,2025,Bank App
Ultracash,0.1,7.45,Jun,2025,Bank App
Karur Vysya Bank App,0.1,35.57,Jun,2025,Bank App
Tamilnad Mercantile Bank App,0.09,32.85,Jun,2025,Bank App
Obopay,0.08,11.38,Jun,2025,Bank App
City Union Bank App,0.08,29.99,Jun,2025,Bank App
True Balance,0.07,2.2,Jun,2025,Bank App
Unity Small Finance Bank App,0.07,16.01,Jun,2025,Bank App
Niyo Global,0.06,14.82,Jun,2025,Bank App
Freo,0.03,2.23,Jun,2025,Bank App
Payworld,0.03,1.96,Jun,2025,Bank App
Bank Of Maharashtra App,0.02,8.31,Jun,2025,Bank App
Others,2.06,243.61,Jun,2025,Bank App
Google Pay,6596.76,866568.18,Mar,2025,Payment App
Paytm,1221.12,132912.04,Mar,2025,Payment App
Navi,324.42,18018.65,Mar,2025,Bank App
Super.Money,171.75,5933.08,Mar,2025,Bank App
Axis Bank App,145.78,9966.53,Mar,2025,Bank App
Cred,144.82,55091.22,Mar,2025,Payment App
Amazon Pay,111.06,10606.66,Mar,2025,Payment App
Fampay,89.94,1099.28,Mar,2025,Bank App
Icici Bank App,67.63,16696.94,Mar,2025,Bank App
Whatsapp,66.23,4958.25,Mar,2025,Bank App
Hdfc Bank App,60.94,11789.9,Mar,2025,Bank App
Kotak Mahindra Bank App,57.05,7737.14,Mar,2025,Bank App
Bhim,46.13,9540.09,Mar,2025,Payment App
Yes Bank App,44.03,9388.85,Mar,2025,Bank App
Mobikwik,29.8,4414.0,Mar,2025,Payment App
Airtel Payments Bank App,21.63,1487.89,Mar,2025,Bank App
Slice,17.41,2069.31,Mar,2025,Payment App
India Post Payments Bank App,16.58,1941.73,Mar,2025,Bank App
Idfc Bank App,14.53,2486.08,Mar,2025,Bank App
Sbi Bank App,12.61,3418.04,Mar,2025,Bank App
Rbl Bank App,12.59,1741.69,Mar,2025,Bank App
Groww,11.63,7009.63,Mar,2025,Payment App
Bajaj Finserv,9.66,1892.01,Mar,2025,Payment App
Samsung Pay,8.95,642.73,Mar,2025,Bank App
Pop Upi,8.53,449.95,Mar,2025,Bank App
Jupiter Money,6.49,958.52,Mar,2025,Payment App
Federal Bank App,4.75,869.77,Mar,2025,Bank App
Flipkart Upi,4.72,257.82,Mar,2025,Bank App
Jio Payments Bank App,4.08,318.2,Mar,2025,Bank App
Canara Bank App,3.75,975.91,Mar,2025,Bank App
Deutsche Bank App,3.62,532.05,Mar,2025,Bank App
Punjab National Bank App,3.38,898.95,Mar,2025,Bank App
Fi Money,3.25,434.16,Mar,2025,Bank App
Timepay,3.07,37.66,Mar,2025,Bank App
Bank Of Baroda App,2.11,588.95,Mar,2025,Bank App
Indusind Bank App,2.04,346.0,Mar,2025,Bank App
Shriram One,1.75,116.77,Mar,2025,Bank App
Jammu And Kashmir Bank App,1.75,261.45,Mar,2025,Bank App
Omnicard,1.59,86.51,Mar,2025,Bank App
Central Bank Of India App,1.57,268.0,Mar,2025,Bank App
Kiwi,1.41,213.93,Mar,2025,Bank App
Suryoday Bank App,1.26,178.92,Mar,2025,Bank App
Bharat Pe,1.07,68.67,Mar,2025,Bank App
Dbs Digibank App,1.02,230.21,Mar,2025,Bank App
Hsbc Bank App,1.0,224.84,Mar,2025,Bank App
Ind Money,0.95,436.8,Mar,2025,Bank App
Aditya Birla Capital Digital,0.88,39.97,Mar,2025,Bank App
One Card,0.82,973.0,Mar,2025,Bank App
Digikhata,0.8,258.58,Mar,2025,Bank App
Union Bank App,0.72,241.09,Mar,2025,Bank App
South Indian Bank App,0.68,204.88,Mar,2025,Bank App
Indian Bank App,0.64,176.18,Mar,2025,Bank App
Au Small Finance Bank App,0.59,174.06,Mar,2025,Bank App
Fino Payments Bank App,0.58,63.84,Mar,2025,Bank App
Standard Chartered Bank App,0.5,146.46,Mar,2025,Bank App
Uco Bank App,0.44,110.34,Mar,2025,Bank App
Tata Neu,0.38,111.95,Mar,2025,Bank App
Esaf Small Finance Bank App,0.38,40.78,Mar,2025,Bank App
Salary Se,0.36,18.23,Mar,2025,Bank App
Bank Of India App,0.27,86.1,Mar,2025,Bank App
Indian Overseas Bank App,0.26,60.29,Mar,2025,Bank App
Karnataka Bank App,0.25,57.72,Mar,2025,Bank App
Kreditpe,0.19,26.43,Mar,2025,Bank App
Money View,0.18,18.99,Mar,2025,Bank App
Dhani,0.17,8.44,Mar,2025,Bank App
Spice Money,0.16,12.87,Mar,2025,Bank App
RapiPay,0.14,17.08,Mar,2025,Bank App
Idbi Bank App,0.13,45.74,Mar,2025,Bank App
Ultracash,0.11,8.67,Mar,2025,Bank App
Niyo Global,0.11,54.39,Mar,2025,Bank App
True Balance,0.1,3.41,Mar,2025,Bank App
Karur Vysya Bank App,0.09,33.66,Mar,2025,Bank App
City Union Bank App,0.09,31.31,Mar,2025,Bank App
Tamilnad Mercantile Bank App,0.08,29.48,Mar,2025,Bank App
Genwise,0.07,28.34,Mar,2025,Bank App
Freo,0.05,3.87,Mar,2025,Bank App
Nsdl Payments Bank App,0.04,5.54,Mar,2025,Bank App
Cheq,0.03,2.43,Mar,2025,Bank App
Bank Of Maharashtra App,0.03,9.11,Mar,2025,Bank App
Punjab Sindh Bank App,0.03,9.19,Mar,2025,Bank App
Others,2.26,254.93,Mar,2025,Bank App
Google Pay,6740.42,884735.12,May,2025,Payment App
Paytm,1277.56,138068.97,May,2025,Payment App
Navi,386.21,21350.35,May,2025,Bank App
Super.Money,203.42,7054.28,May,2025,Bank App
Cred,141.95,55242.72,May,2025,Payment App
Axis Bank App,120.03,9683.82,May,2025,Bank App
Fampay,110.38,1415.4,May,2025,Bank App
Amazon Pay,98.68,10343.44,May,2025,Payment App
Whatsapp,70.19,5280.89,May,2025,Bank App
Bhim,64.6,11243.73,May,2025,Payment App
Hdfc Bank App,63.19,14806.6,May,2025,Bank App
Kotak Mahindra Bank App,59.74,7862.6,May,2025,Bank App
Icici Bank App,59.47,16689.54,May,2025,Bank App
Yes Bank App,53.52,9518.96,May,2025,Bank App
Mobikwik,33.92,4674.33,May,2025,Payment App
Airtel Payments Bank App,20.14,1447.35,May,2025,Bank App
Slice Small Finance Bank App,19.85,2330.22,May,2025,Payment App
India Post Payments Bank App,16.51,1834.83,May,2025,Bank App
Idfc Bank App,16.21,2493.29,May,2025,Bank App
Pop Upi,13.59,500.88,May,2025,Bank App
Sbi Bank App,13.48,3700.3,May,2025,Bank App
Rbl Bank App,13.27,1762.42,May,2025,Bank App
Groww,12.14,8443.05,May,2025,Payment App
Bajaj Finserv,10.67,2219.95,May,2025,Payment App
Samsung Pay,9.14,656.92,May,2025,Bank App
Jupiter Money,6.4,950.85,May,2025,Payment App
Federal Bank App,5.09,982.11,May,2025,Bank App
Jio Payments Bank App,4.7,341.19,May,2025,Bank App
Deutsche Bank App,4.02,723.88,May,2025,Bank App
Timepay,3.9,50.01,May,2025,Bank App
Canara Bank App,3.85,992.9,May,2025,Bank App
Punjab National Bank App,3.6,953.88,May,2025,Bank App
Kiwi,3.58,428.68,May,2025,Bank App
Flipkart Upi,3.23,187.83,May,2025,Bank App
Standard Chartered Bank App,3.02,180.55,May,2025,Bank App
Fi Money,2.99,407.88,May,2025,Bank App
Shriram One,2.58,165.88,May,2025,Bank App
Jammu And Kashmir Bank App,2.36,308.47,May,2025,Bank App
Indusind Bank App,1.99,258.89,May,2025,Bank App
Bank Of Baroda App,1.8,528.32,May,2025,Bank App
Omnicard,1.63,92.27,May,2025,Bank App
Central Bank Of India App,1.56,268.09,May,2025,Bank App
Ind Money,1.3,560.96,May,2025,Bank App
Suryoday Bank App,1.25,218.46,May,2025,Bank App
Dbs Digibank App,1.06,226.65,May,2025,Bank App
Hsbc Bank App,1.03,124.36,May,2025,Bank App
Digikhata,0.87,282.69,May,2025,Bank App
Indian Bank App,0.8,202.18,May,2025,Bank App
One Card,0.8,954.81,May,2025,Bank App
Bharat Pe,0.74,58.21,May,2025,Bank App
Union Bank App,0.73,241.85,May,2025,Bank App
South Indian Bank App,0.71,211.09,May,2025,Bank App
Au Small Finance Bank App,0.6,184.67,May,2025,Bank App
Esaf Small Finance Bank App,0.57,63.39,May,2025,Bank App
Fino Payments Bank App,0.54,56.9,May,2025,Bank App
Aditya Birla Capital Digital,0.49,26.92,May,2025,Bank App
Uco Bank App,0.48,122.06,May,2025,Bank App
Tata Neu,0.45,132.55,May,2025,Bank App
Salary Se,0.43,20.47,May,2025,Bank App
Money View,0.32,31.91,May,2025,Bank App
Kreditpe,0.32,35.29,May,2025,Bank App
Bank Of India App,0.3,91.04,May,2025,Bank App
Indian Overseas Bank App,0.27,64.81,May,2025,Bank App
Karnataka Bank App,0.25,59.72,May,2025,Bank App
Spice Money,0.2,14.26,May,2025,Bank App
Dhani,0.17,8.63,May,2025,Bank App
Nsdl Payments Bank App,0.17,16.25,May,2025,Bank App
RapiPay,0.17,19.16,May,2025,Bank App
Idbi Bank App,0.13,49.81,May,2025,Bank App
Ultracash,0.1,7.77,May,2025,Bank App
True Balance,0.1,3.01,May,2025,Bank App
Karur Vysya Bank App,0.1,35.02,May,2025,Bank App
Tamilnad Mercantile Bank App,0.09,32.95,May,2025,Bank App
Niyo Global,0.07,25.75,May,2025,Bank App
City Union Bank App,0.07,29.97,May,2025,Bank App
Obopay,0.06,8.77,May,2025,Bank App
Unity Small Finance Bank App,0.06,12.79,May,2025,Bank App
Freo,0.04,2.27,May,2025,Bank App
Payworld,0.03,2.21,May,2025,Bank App
Punjab Sindh Bank App,0.02,8.87,May,2025,Bank App
Bank Of Maharashtra App,0.02,7.44,May,2025,Bank App
Others,1.87,240.77,May,2025,Bank App
Pop Upi,14.58,834.96,Nov,2025,Bank App
Samsung Pay,11.21,716.66,Nov,2025,Bank App
Jupiter Money,6.04,935.1,Nov,2025,Payment App
Jio Payments Bank App,5.92,418.34,Nov,2025,Bank App
Deutsche Bank App,4.39,760.75,Nov,2025,Bank App
Nsdl Payments Bank App,3.48,319.56,Nov,2025,Bank App
Kiwi,3.08,404.62,Nov,2025,Bank App
Ind Money,3.02,994.89,Nov,2025,Bank App
Bank Of Baroda App,2.74,653.52,Nov,2025,Bank App
Flipkart Upi,2.66,146.29,Nov,2025,Bank App
Fi Money,2.58,375.77,Nov,2025,Bank App
Jammu And Kashmir Bank App,2.42,378.25,Nov,2025,Bank App
Bharat Pe,2.28,177.52,Nov,2025,Bank App
Timepay,2.0,39.98,Nov,2025,Bank App
Omnicard,1.9,129.21,Nov,2025,Bank App
Suryoday Bank App,1.89,3.55,Nov,2025,Bank App
Indian Bank App,1.52,422.65,Nov,2025,Bank App
Money View,1.41,98.11,Nov,2025,Bank App
Indusind Bank App,1.39,212.28,Nov,2025,Bank App
Shriram One,1.39,108.4,Nov,2025,Bank App
Hsbc Bank App,1.26,158.12,Nov,2025,Bank App
Esaf Small Finance Bank App,1.19,127.39,Nov,2025,Bank App
Digikhata,1.16,412.73,Nov,2025,Bank App
Aditya Birla Capital Digital,1.11,24.14,Nov,2025,Bank App
Kreditbee,1.06,37.32,Nov,2025,Bank App
Fino Payments Bank App,0.96,83.45,Nov,2025,Bank App
Union Bank App,0.88,250.09,Nov,2025,Bank App
South Indian Bank App,0.84,243.72,Nov,2025,Bank App
Au Small Finance Bank App,0.73,241.68,Nov,2025,Bank App
One Card,0.63,793.04,Nov,2025,Bank App
Kreditpe,0.6,53.81,Nov,2025,Bank App
Dbs Digibank App,0.58,203.03,Nov,2025,Bank App
Uco Bank App,0.58,154.26,Nov,2025,Bank App
Salary Se,0.48,23.87,Nov,2025,Bank App
Central Bank Of India App,0.42,126.34,Nov,2025,Bank App
Tata Pay,0.42,148.43,Nov,2025,Bank App
Standard Chartered Bank App,0.36,116.53,Nov,2025,Bank App
Bank Of India App,0.34,108.52,Nov,2025,Bank App
Jar,0.33,8.42,Nov,2025,Bank App
Spice Money,0.32,30.58,Nov,2025,Bank App
RapiPay,0.3,29.39,Nov,2025,Bank App
Karnataka Bank App,0.27,63.02,Nov,2025,Bank App
Dhani,0.21,9.42,Nov,2025,Bank App
Indian Overseas Bank App,0.2,53.88,Nov,2025,Bank App
True Balance,0.18,6.09,Nov,2025,Bank App
Oxymoney,0.16,10.58,Nov,2025,Bank App
Idbi Bank App,0.16,71.99,Nov,2025,Bank App
Obopay,0.15,23.14,Nov,2025,Bank App
Karur Vysya Bank App,0.12,43.7,Nov,2025,Bank App
Twidpay,0.11,12.18,Nov,2025,Bank App
Tamilnad Mercantile Bank App,0.1,34.64,Nov,2025,Bank App
Payworld,0.08,7.81,Nov,2025,Bank App
